username,date_time,map_num,helper,points_to,rec_path,rec_score,other_wump,help_rt
19,5/18/23 21:14,21,h,"(3, 1)","[""left"",""left"",""up"",""left"",""up"",""up"",""up"",""right""]",-8,"[""(2, 3)"",""(2, 2)"",""(3, 2)"",""(3, 3)"",""(3, 4)"",""(4, 4)"",""(0, 4)"",""(0, 3)"",""(4, 2)"",""(4, 1)"",""(2, 0)""]",5
19,5/18/23 21:14,12,r,"(0, 2)","[""up"",""right"",""up"",""right"",""right"",""right"",""up"",""up"",""left"",""left""]",-10,"[""(2, 3)"",""(1, 3)""]",2
20,5/19/23 18:06,105,x,NA,"[""up"",""right"",""right"",""right"",""up"",""up"",""left"",""up""]",92,NA,0
20,5/19/23 18:06,103,x,NA,"[""up"",""up"",""right"",""right"",""up"",""up""]",94,NA,0
20,5/19/23 18:06,102,x,NA,"[""right"",""up"",""up"",""up"",""right"",""up""]",94,NA,0
20,5/19/23 18:06,106,x,NA,"[""left"",""left"",""up"",""up"",""up"",""up""]",94,NA,0
20,5/19/23 18:07,104,x,NA,"[""up"",""up"",""right"",""right"",""up"",""up""]",94,NA,0
20,5/19/23 18:07,110,x,NA,"[""up"",""up"",""left"",""left"",""left"",""up"",""right"",""up""]",92,NA,0
20,5/19/23 18:07,108,x,NA,"[""up"",""up"",""left"",""left"",""up"",""up""]",94,NA,0
20,5/19/23 18:07,107,x,NA,"[""left"",""left"",""up"",""up"",""up"",""up""]",94,NA,0
20,5/19/23 18:07,101,x,NA,"[""right"",""right"",""up"",""up"",""up"",""up""]",94,NA,0
20,5/19/23 18:07,109,x,NA,"[""up"",""up"",""left"",""left"",""up"",""up""]",94,NA,0
20,5/19/23 18:12,13,h,"(1, 1)","[""right"",""right"",""right"",""up"",""right"",""up"",""up"",""left"",""up"",""left""]",-10,"[""(1, 2)"",""(2, 2)"",""(4, 4)"",""(0, 4)"",""(4, 0)"",""(2, 3)""]",2
20,5/19/23 18:12,2,h,"(1, 1)","[""up"",""up"",""right"",""up"",""up"",""right""]",94,"[""(0, 4)"",""(4, 4)"",""(4, 0)"",""(2, 3)"",""(3, 3)"",""(1, 2)""]",4
20,5/19/23 18:13,3,r,"(2, 3)","[""up"",""right"",""up"",""up"",""up"",""right""]",94,"[""(0, 4)"",""(4, 4)"",""(4, 0)"",""(3, 2)"",""(2, 1)""]",5
20,5/19/23 18:13,8,h,"(0, 4)","[""up"",""up"",""up"",""right"",""up"",""right""]",94,"[""(1, 2)"",""(2, 1)"",""(3, 2)"",""(2, 2)"",""(1, 1)"",""(4, 0)"",""(4, 4)""]",2
20,5/19/23 18:14,28,h,"(2, 0)","[""up"",""left"",""left"",""left"",""left"",""up"",""up"",""right"",""up"",""right""]",90,"[""(0, 4)"",""(4, 4)"",""(2, 3)"",""(1, 2)"",""(2, 2)"",""(3, 2)"",""(4, 2)""]",3
20,5/19/23 18:14,18,h,"(4, 2)","[""up"",""left"",""up"",""up"",""up"",""left""]",94,"[""(4, 4)"",""(0, 4)"",""(2, 1)"",""(2, 0)"",""(3, 0)"",""(2, 3)""]",4
20,5/19/23 18:15,21,h,"(3, 1)","[""up"",""up"",""left"",""up"",""up"",""left""]",94,"[""(2, 3)"",""(2, 2)"",""(4, 4)"",""(0, 0)"",""(0, 4)"",""(1, 4)"",""(1, 3)""]",5
20,5/19/23 18:16,12,h,"(0, 2)","[""up"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""left"",""left""]",-110,"[""(0, 4)"",""(2, 3)"",""(3, 2)"",""(3, 3)"",""(4, 0)"",""(1, 4)""]",1
20,5/19/23 18:17,10,r,"(2, 2)","[""right"",""right"",""right"",""up"",""right"",""up"",""up"",""left"",""up"",""left""]",90,"[""(0, 4)"",""(2, 3)"",""(3, 2)"",""(4, 4)"",""(4, 0)"",""(1, 2)"",""(2, 1)""]",3
20,5/19/23 18:17,9,r,"(0, 4)","[""up"",""up"",""up"",""right"",""up"",""right""]",-6,"[""(4, 4)"",""(1, 2)"",""(2, 2)"",""(2, 3)"",""(4, 0)"",""(3, 1)""]",2
20,5/19/23 18:18,20,r,"(3, 2)","[""left"",""left"",""left"",""up"",""up"",""up"",""right"",""up""]",92,"[""(1, 4)"",""(3, 4)"",""(4, 3)"",""(4, 4)"",""(0, 4)"",""(0, 0)""]",4
20,5/19/23 18:18,19,h,"(2, 1)","[""up"",""up"",""left"",""left"",""left"",""up"",""up"",""right""]",92,"[""(0, 4)"",""(4, 4)"",""(2, 3)"",""(0, 2)"",""(3, 0)""]",3
20,5/19/23 18:18,15,h,"(2, 0)","[""up"",""up"",""left"",""up"",""up"",""left""]",-6,"[""(2, 2)"",""(2, 1)"",""(2, 3)"",""(1, 3)"",""(1, 4)"",""(0, 4)"",""(4, 4)"",""(0, 0)""]",1
20,5/19/23 18:19,25,h,"(1, 0)","[""up"",""left"",""left"",""left"",""left"",""up"",""up"",""right"",""up"",""right""]",90,"[""(1, 2)"",""(2, 2)"",""(3, 2)"",""(4, 2)"",""(2, 3)"",""(4, 4)"",""(0, 4)"",""(0, 0)""]",2
20,5/19/23 18:20,14,r,"(3, 2)","[""up"",""right"",""right"",""right"",""right"",""up"",""up"",""left"",""up"",""left""]",90,"[""(2, 3)"",""(0, 4)"",""(4, 4)"",""(3, 0)""]",3
20,5/19/23 18:20,17,h,"(3, 0)","[""up"",""left"",""up"",""left"",""up"",""up""]",-6,"[""(1, 4)"",""(3, 4)"",""(0, 4)"",""(4, 4)"",""(0, 0)"",""(1, 2)""]",1
